,title,summary,company,today,href
0,"   얼굴 없는 노래방차트 1위 가수 #안녕, 알고보니 '연봉 1억' 받는 대기업 직원   ","  기자] 요즘 10대-20대에게 ’얼굴이 없어도‘ 아주 유명한 가수가 있다. 얼굴 없이 7년간 활동했던 가수 #안녕. '안녕'이라고 읽어야 하나, '샵안녕'이라고 읽어야 하나 모를 정도로 일반인들에게 익숙하지 않은 이름이지만 10대 20대 젊은 층이 애용하는 코노(코인...  ",OSEN, 2023.11.07 ,http://v.daum.net/v/20231107093520126
1,"   이청아 ""'연인' 각화, 만나기 어려운 캐릭터""...출연 비하인드 ('안녕하니')   ","  채널 딩고(dingo)는 지난 22일 오후 8시 딩고 뮤직 공식 유튜브 채널을 통해 힐링 뮤직 토크쇼 '너의 밤은 안녕하니' 2화를 공개했다. '너의 밤은 안녕하니'는 고요한 밤에 듣는 라디오를 연상시키는, 따뜻하고 편안한 분위기 속에 진행되는 뮤직 토크쇼 프로그램...  ",OSEN, 2023.11.23 ,http://v.daum.net/v/20231123113322502
2,   [경남 주말&문화] 당신의 안녕을 염원하며…‘무수히 안녕’   ,"  [KBS 창원] [앵커] 경남 주말엔문화, 경남도립미술관이 올해 마지막 기획전, '무수히 안녕'을 내일(24일) 개막합니다. 모두의 '안녕'을 바라는 오랜 마음과 행위에 숨겨진 다양한 가치를 만나 보시죠. 진정은 기자입니다. [리포트] 불상과 나란히 등을 마주한 천사와...  ",KBS, 2023.11.23 ,http://v.daum.net/v/20231123220237776
3,"   ‘안녕, 안녕! 안녕?’ 이시·제니박·심으뜸·김수지·김영석 단체전   ","  안녕?’을 주제로 열리고 있는 이번 단체전은 청년 작가들의 작업을 통해 미래의 청년, 과거의 청년, 그리고 현재의 청년에게 안녕을 묻고자 기획됐다. ⓒ올리비아박 갤러리 ⓒ올리비아박 갤러리 전시를 통해 희망을 담고 긍정적인 메세지를 담은 작품들을 마주함...  ",프레시안, 2023.11.13 ,http://v.daum.net/v/20231113123103412
4,"   경남도립미술관, 올해 마지막 기획전 '무수히 안녕' 24일 개막   ",  (창원=연합뉴스) 김선경 기자 = 경남도립미술관은 올해 마지막 기획전 '무수히 안녕'을 오는 24일 개막한다고 19일 밝혔다. 이번 기획전은 누군가의 안녕을 바라는 염원에 숨겨진 다양한 가치를 동시대 미술과 전통공예를 통해 조명한다. 기획전에 참여하는 8명의...  ,연합뉴스, 2023.11.19 ,http://v.daum.net/v/20231119092106998
5,   “안녕? 청년밥차 민이라고 해” 개그맨 오지헌 대학교에 떴다[따만사]   ,  오 간사는 2003년 KBS 공채 18기에 합격해 개그맨의 길에 들어선 지 20년이 됐다. 데뷔하자마자 그는 KBS2 개그콘서트를 통해 “안녕~! 난 민이라고 해”라는 유행어를 만들어 내기도 했다. 그는 “다른 개그맨들보다 쉽게 개그맨이 됐고 쉽게 성공을 해버렸다. 물론...  ,동아일보, 2023.11.24 탐사뉴스 ,http://v.daum.net/v/20231124140009057
6,"   '복면가왕' 미다스의 손, 유리아·#안녕·효진·건지 꺾고 '가왕' 방어 [종합]   ","  베스트셀러가 '사계', 잘 찍어가 '하루'를 선곡해 맞대결을 펼쳤다. 결과는 베스트셀러의 승리였고, 잘 찍어 정체는 #안녕이었다. #안녕은 데뷔 이후 최초로 얼굴을 공개했다며 ""반도체 기업에서 엔지니어로 근무 중인 회사원이다. 연차를 내고 녹화에 왔다""라고 말...  ",티브이데일리, 2023.11.26 ,http://v.daum.net/v/20231126211607857
7,"   이청아 ""작품이 사랑받는 것=큰 복"" 솔직 입담(너의 밤은 안녕하니)   ","  채널 딩고(dingo)는 지난 22일 오후 8시 딩고 뮤직 공식 유튜브 채널을 통해 힐링 뮤직 토크쇼 '너의 밤은 안녕하니' 2화를 공개했다. '너의 밤은 안녕하니'는 고요한 밤에 듣는 라디오를 연상시키는, 따뜻하고 편안한 분위기 속에 진행되는 뮤직 토크쇼 프로그램...  ",MBC연예, 2023.11.23 ,http://v.daum.net/v/20231123103107515
8,"   “안녕” 카라 박규리·니콜, 故 구하라 4주기에 전한 마음   ",  그리움을 드러냈다. 박규리는 24일 자신의 인스타그램에 팬들이 구하라를 추억하며 지하철 역에 건 광고판 사진을 게재하며 “안녕”이라는 인사를 전했다. 광고판에는 생전 구하라가 무대에서 퍼포먼스를 하는 모습이 담긴 사진과 함께 ‘당신의 미소는 언제나 우리...  ,OSEN, 2023.11.24 ,http://v.daum.net/v/20231124181402786
9,"   ‘이동국 딸’ 이재아, 테니스선수 은퇴 후 근황 “목발 영원히 안녕”   ",  둘째 딸 이재아의 근황이 공개됐다. 지난 15일 이동국의 아내 이수진은 자신의 소셜네트워크서비스 계정에 “목발 보조기 영원히 안녕”이라는 문구와 함께 딸 이재아의 사진을 게재했다. 사진에는 이재아가 다리에 보조기를 차고 목발을 짚고 있는 모습이 그려졌다...  ,뉴스엔, 2023.11.21 ,http://v.daum.net/v/20231121130400986
10,"   이유미 종영소감 ""'강남순'이어서 즐겁고 행복했다. 안녕""   ","  저에겐 충분합니다. 감독님과 작가님, 모든 순간 함께했던 배우분들과 스태프분들 그리고 많은 사랑을 주신 시청자분들까지 감사하고 사랑합니다. 강남순이어서 즐겁고 행복했습니다. 안녕""이라고 진심 어린 감사 인사를 남겼다. 고재완 기자 star77@sportschosun.com  ",스포츠조선, 2023.11.27 ,http://v.daum.net/v/20231127110146764
11,"   ‘복면가왕’ ‘미다스의 손’, 1표차 승리하며 211대 가왕 등극...건지-효진-#안녕-유리아 정체 공개 [종합]   ","  사로잡았다. 대결의 승자는 ‘베스트셀러’였다. 이에 ‘모르는 건 잘 찍어’는 가면을 벗고 정체를 공개했는데 그는 #안녕이었다. #안녕은 “지금 회사원이다. 반도체 기업에서 엔지니어로 근무 중인데 연차 내고 왔다""고 하며 ”회식 때 노래방을 안 가려고 하는데...  ",MBC연예, 2023.11.26 ,http://v.daum.net/v/20231126195600335
12,"   카라 규리, 故 구하라 향한 그리움...""안녕""   ","  구하라의 4주기를 추모했다. 24일 규리는 자신의 소셜네트워크서비스에 구하라의 생전 모습이 담긴 포스터 사진을 올렸다. 그는 ""안녕""이라고 짧게 덧붙였다. 포스터에는 구하라의 사진과 함께 '당신의 미소는 언제나 우리들의 마음 속에'라는 문구가 적혀있다. 지난...  ",TV리포트, 2023.11.24 ,http://v.daum.net/v/20231124190200706
13,"   안산 청년들, 안녕한가요?   ","  안산시지속가능발전협의회, 경기내일스퀘어안산 상상대로는 지난 18일 스페이스 오즈에서 2030안산청년들 공론장 '안산청년들 안녕한가요? : 누구도 배제되지 않는 청년들의 안정과 안전을 말하다'를 개최했다. 토론회 사회를 맡은 임윤희 평등평화세상온다 사무국장...  ",오마이뉴스, 2023.11.21 ,http://v.daum.net/v/20231121134206808
14,"   시그니처(Cignature), ‘안녕, 인사해’ 무대 직캠 (2023 서울 석세스 대상) [SS쇼캠]   ","  주최하고 굿모닝경제, 스포츠서울, 서울STV, 스포츠서울 Ent TV가 주관하며 정치부문, 경제부문, 사회부문, 문화부문 등으로 나뉘어 진행됐다. 시그니처(Cignature), ‘안녕, 인사해’ 무대 직캠 (2023 서울 석세스 대상) park5544@sportsseoul.com 사진 | 유튜브  ",스포츠서울, 2023.11.21 ,http://v.daum.net/v/20231121093317548
15,   ‘현역가왕’ 대성 “안녕하세요 대성입니다~~” 미친 텐션   ,"  했었다”고 언급하자, 순간 ‘날 봐 귀순’ 음악이 흘러나왔고, 대성은 지체없이 자리에서 일어나 바로 마이크를 쥐더니 “안녕하세요 대성입니다~~”를 맛깔나는 행사 톤으로 외쳐 폭소를 선사했다. 급기야 대성은 무대 앞으로 뛰어나가 특유의 폭풍 성량을 바탕...  ",스포츠경향, 2023.11.20 ,http://v.daum.net/v/20231120213504793
16,   영화 포스터 이젠 안녕… 합성수지 코팅된 전단지 제한된다   ,"  [기자] 최근 한 온라인 커뮤니티에 올라온 사진입니다. 한 영화관에 게시된 공지문인데요. '지난 24일부터 환경부 지침에 따라 영화관 1회용 선전물 배포가 제한됩니다'라고 적혀 있습니다. [앵커] '1회용 선전물'이라고 하면, 영화관 입구 쪽에 놓여 있는 미니...  ",JTBC, 4시간전 ,http://v.daum.net/v/20231128103942608
17,"   '이동국 딸' 재아, 세 번의 수술 후 근황 ""영원히 안녕""   ","  뉴스 윤현지 기자) 전 축구선수 이동국의 딸 이재아의 근황이 공개됐다. 지난 15일 이동국의 아내 이수진은 ""목발 보조기 영원히 안녕""이라는 글과 함께 딸 재아의 사진을 올렸다. 사진 속 재아는 다리에 보조기를 차고 목발을 짚고 있다. 한편 이재아는 지난해 12월...  ",엑스포츠뉴스, 2023.11.17 ,http://v.daum.net/v/20231117194002988
18,   등굣길 4년째 '안녕하세요' 인사하는 할머니를 아시나요?   ,"  4년째 북구시니어클럽 일자리사업으로 아이들의 등굣길 교통안전을 책임지고 있는 강찬순(72) 할머니. 북구청 제공 ""안녕하세요. 그래 학교 잘 다녀와."" 울산 북구 강동초등학교와 강동고등학교 등굣길에서 매일 아침 아이들에게 '안녕하세요' 인사를 하며 교통지도...  ",노컷뉴스, 2023.11.15 ,http://v.daum.net/v/20231115114201933
19,"   얼굴 없는 가수 #안녕, 연봉 1억 받는 대기업 직원…오늘 신곡 공개   ","  10~20대에게 얼굴 없는 가수로 알려진 #안녕의 정체가 밝혀졌습니다. '안녕'이라고 읽어야 하나, '샵안녕'이라고 읽어야 하나 모를 정도로 일반인들에게 익숙하지 않은 이름이지만, #안녕은 10~20대 젊은 층이 애용하는 코노(코인 노래방) 차트에서는 이름이 빠지지...  ",MBN, 2023.11.07 ,http://v.daum.net/v/20231107155738201
20,"   로코베리 로코, 배우 박신혜와 절친 케미···토크쇼 ‘너의 밤은 안녕하니?’ 첫 회부터 100만뷰 돌파   ",  딩고뮤직 ‘너의 밤은 안녕하니?’ 영상 캡처 히트 작곡팀이자 밴드 로코베리의 로코가 색다른 뮤직 토크쇼 ‘너의 밤은 안녕하니?’로 시청자들을 사로잡았다.지난 8일 디지털 미디어 채널 딩고뮤직 공식 유튜브 채널을 통해 로코가 진행하는 신규 뮤직 토크쇼 ‘너...  ,스포츠경향, 2023.11.14 ,http://v.daum.net/v/20231114221625760
21,"   규현, 흉기 난동에 부상→김혜수 ‘청룡’과 뜨거운 안녕 [이슈박스]   ",  하는 영상 등이 유출돼 사생활 논란에 휩싸인 바 있다. 사진=서병수 기자 qudtn@edaily.co.kr ◇김혜수 ‘청룡영화상’과 뜨거운 안녕배우 김혜수가 ‘청룡영화상’과 30년 인연을 마무리했다.‘제44회 청룡영화상’이 지난 24일 오후 서울시 영등포구 KBS홀에서...  ,일간스포츠, 2023.11.25 ,http://v.daum.net/v/20231125103039202
22,   영도 어린이에게 '안녕' 전하는 프로젝트 전시 '노랑안녕' 개최   ,  [부산=뉴시스] 프로젝트 전시 '노란안녕' 메인 포스터. (사진=영도문화도시센터 제공) *재판매 및 DB 금지 [부산=뉴시스]권태완 기자 = 영도문화도시센터는 오는 13일부터 다음달 3일까지 3주간 홍매실 해피하우스에서 영도 어린이들에게 안녕을 전하는 프로젝트...  ,뉴시스, 2023.11.11 ,http://v.daum.net/v/20231111071808663
